t,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,roll_rate,pitch_rate,yaw_rate
3.7000,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
3.8000,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
3.9000,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
4.0001,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
4.0999,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
4.2000,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
4.3000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
4.3999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
4.4999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
4.5999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
4.6999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
4.7999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
4.9000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
5.0000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
5.0999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
5.1999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
5.2999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
5.4000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
5.5000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
5.6000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
5.6999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
5.8000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
5.9000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
5.9999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
6.1000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
6.1999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
6.3000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
6.4000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
6.5000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
6.5999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
6.6999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
6.8000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
6.9000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
7.0000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
7.1000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
7.2000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
7.3000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
7.4000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
7.5000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
7.5999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
7.6999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
7.8000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
7.9000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
7.9999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
8.1000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
8.1999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
8.3000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
8.3999,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
8.5000,0.0122,-0.0113,-1.7743,-0.0148,-0.0149,-0.0040,0.0874,-0.0667,91.0809,0.0004,-0.0003,-0.0001
8.6000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
8.7000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
8.8002,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
8.9000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
9.0000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
9.1000,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
9.1999,0.0121,-0.0113,-1.7494,-0.0148,-0.0147,-0.0039,0.0869,-0.0668,91.0737,0.0004,-0.0003,-0.0002
