scenario,condition,uncertainty,planner,resolution,runs,pct_SUCESSO,pct_SEM_CAMINHO,pct_TIMEOUT,pct_ENERGIA_INSUFICIENTE,pct_TEMPO_TOTAL_EXCEDIDO,pct_COLISAO,t_initial_ms_mean,t_initial_ms_std,t_first_solution_ms_mean,t_first_solution_ms_std,n_replans_mean,n_replans_std,replan_ms_mean_mean,replan_ms_mean_std,replan_ms_max_mean,replan_ms_max_std,initial_pct_budget_mean,initial_pct_budget_std,replan_pct_budget_max_mean,replan_pct_budget_max_std,energy_planned_wh_mean,energy_planned_wh_std,energy_exec_wh_mean,energy_exec_wh_std,abs_delta_e_wh_mean,abs_delta_e_wh_std,length_planned_m_mean,length_planned_m_std,length_exec_m_mean,length_exec_m_std,n_waypoints_mean,n_waypoints_std,min_clearance_m_mean,min_clearance_m_std,mission_time_s_mean,mission_time_s_std,realtime_ok_pct
C1,K4,0.2,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5013.974,2.814,459.717,90.868,0.0,0.0,,,,,2.741,0.031,,,3.779,0.045,4.023,0.056,0.244,0.022,182.968,2.169,184.217,2.226,4.2,0.909,1.296,0.409,64.847,0.891,100.0
C1,K5,,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,2974.968,15.866,2974.968,15.866,0.0,0.0,,,,,1.629,0.009,,,3.773,0.003,4.007,0.0,0.234,0.003,182.653,0.129,183.868,0.126,3.0,0.0,1.31,0.224,64.6,0.0,100.0
C1,K5,,astar,4.0,3,100.0,0.0,0.0,0.0,0.0,0.0,401.407,12.789,401.407,12.789,0.0,0.0,,,,,0.22,0.008,,,3.763,0.011,4.0,0.006,0.236,0.007,182.193,0.52,183.401,0.508,5.0,0.0,1.237,0.274,64.467,0.094,100.0
C1,K5,,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5014.307,2.718,460.604,90.929,0.0,0.0,,,,,2.741,0.031,,,3.779,0.045,4.023,0.056,0.244,0.022,182.968,2.169,184.217,2.226,4.2,0.909,1.296,0.409,64.847,0.891,100.0
C1,K6,,astar,2.0,3,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,K6,,astar,4.0,3,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,K6,,rrt_star,,30,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,K1,,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,1035.663,3.203,1035.663,3.203,3.667,0.943,582.899,68.149,899.543,57.752,0.572,0.002,0.497,0.032,3.742,0.002,4.209,0.013,0.467,0.012,181.161,0.077,186.543,0.46,3.0,0.0,1.14,0.031,67.809,0.202,100.0
C2,K1,,astar,4.0,3,100.0,0.0,0.0,0.0,0.0,0.0,141.728,27.524,141.728,27.524,8.0,0.0,90.913,13.314,132.513,20.603,0.077,0.015,0.072,0.011,3.777,0.002,4.639,0.053,0.862,0.051,182.874,0.116,205.238,2.071,3.0,0.0,1.339,0.285,74.661,0.837,100.0
C2,K1,,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5008.474,1.091,250.332,34.316,3.767,2.246,251.172,60.215,330.387,42.912,2.764,0.011,0.182,0.024,3.743,0.015,4.345,0.145,0.603,0.14,181.185,0.708,195.444,5.897,3.0,0.0,1.392,0.272,69.981,2.332,100.0
C2,K5,,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,978.295,17.185,978.295,17.185,2.0,0.0,767.533,14.548,865.086,9.599,0.54,0.01,0.478,0.005,3.742,0.002,3.983,0.005,0.241,0.006,181.161,0.077,178.151,0.113,3.0,0.0,5.711,0.018,64.202,0.087,100.0
C2,K5,,astar,4.0,3,100.0,0.0,0.0,0.0,0.0,0.0,136.962,25.243,136.962,25.243,2.0,0.0,160.523,38.69,217.518,62.792,0.075,0.014,0.119,0.034,3.777,0.002,3.957,0.01,0.18,0.008,182.874,0.116,180.613,0.305,3.0,0.0,2.658,0.154,63.788,0.162,100.0
C2,K5,,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5008.11,0.883,245.905,30.929,3.033,1.278,277.04,54.661,364.189,68.734,2.764,0.011,0.201,0.038,3.743,0.015,3.962,0.048,0.219,0.047,181.185,0.708,178.816,1.074,3.0,0.0,3.907,1.584,63.841,0.752,100.0
C3,K1,,astar,0.5,3,100.0,0.0,0.0,0.0,0.0,0.0,762.684,10.62,762.684,10.62,0.0,0.0,,,,,3.385,0.045,,,0.464,0.001,0.718,0.006,0.254,0.006,22.53,0.048,23.768,0.062,3.0,0.0,1.205,0.066,11.533,0.094,100.0
C3,K1,,astar,1.0,3,100.0,0.0,0.0,0.0,0.0,0.0,124.837,4.23,124.837,4.23,0.0,0.0,,,,,0.555,0.016,,,0.463,0.002,0.701,0.006,0.238,0.008,22.499,0.113,23.691,0.123,3.0,0.0,1.225,0.041,11.267,0.094,100.0
C3,K1,,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5004.609,1.813,40.009,14.25,0.0,0.0,,,,,22.145,0.32,,,0.465,0.007,0.709,0.01,0.243,0.011,22.604,0.331,23.814,0.322,3.433,0.616,1.337,0.204,11.387,0.154,100.0
C3,K2,,astar,0.5,3,100.0,0.0,0.0,0.0,0.0,0.0,804.672,20.779,804.672,20.779,1.0,0.0,2492.036,131.717,2492.036,131.717,3.67,0.092,11.367,0.59,0.451,0.0,0.872,0.013,0.421,0.013,21.922,0.021,23.531,0.021,3.0,0.0,1.242,0.06,14.025,0.211,100.0
C3,K2,,astar,1.0,3,100.0,0.0,0.0,0.0,0.0,0.0,140.555,7.512,140.555,7.512,1.0,0.0,408.433,19.673,408.433,19.673,0.631,0.031,1.834,0.079,0.458,0.003,0.739,0.007,0.28,0.006,22.269,0.123,23.762,0.125,3.0,0.0,1.328,0.043,11.875,0.105,100.0
C3,K2,,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5003.802,1.621,34.88,13.123,1.0,0.258,161.486,54.727,163.196,52.42,22.625,0.295,0.739,0.238,0.455,0.006,0.739,0.03,0.284,0.031,22.12,0.292,24.727,1.044,3.033,0.18,1.425,0.243,11.878,0.473,100.0
C4,K1,,astar,1.0,3,100.0,0.0,0.0,0.0,0.0,0.0,2487.305,82.436,2487.305,82.436,0.0,0.0,,,,,5.236,0.181,,,0.806,0.007,1.055,0.01,0.249,0.007,47.507,0.072,48.627,0.13,5.0,0.0,2.247,0.093,46.133,0.377,100.0
C4,K1,,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,384.149,11.553,384.149,11.553,0.0,0.0,,,,,0.801,0.025,,,0.829,0.021,1.004,0.074,0.176,0.096,47.961,0.146,48.123,0.563,4.667,0.471,2.189,0.166,44.4,1.131,100.0
C4,K1,,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5005.934,1.398,84.101,19.766,0.0,0.0,,,,,10.007,0.53,,,0.843,0.055,1.12,0.07,0.276,0.061,50.171,2.731,51.089,2.579,5.167,0.637,2.165,0.363,46.92,5.757,100.0
C4,K4,0.02,astar,1.0,3,100.0,0.0,0.0,0.0,0.0,0.0,2372.955,29.312,2372.955,29.312,0.0,0.0,,,,,4.874,0.055,,,0.819,0.01,1.062,0.013,0.243,0.005,48.689,0.299,49.305,0.237,4.333,0.471,2.254,0.101,47.0,0.327,100.0
C4,K4,0.02,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,355.785,5.353,355.785,5.353,0.0,0.0,,,,,0.729,0.019,,,0.837,0.017,1.013,0.078,0.176,0.094,48.851,0.719,49.026,1.097,4.667,0.471,2.584,0.198,46.067,2.5,100.0
C4,K4,0.02,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5007.146,1.605,85.526,19.717,0.0,0.0,,,,,9.92,0.49,,,0.848,0.053,1.122,0.066,0.274,0.059,50.599,2.541,51.574,2.484,5.467,0.67,2.861,0.591,47.28,5.399,100.0
