planner,condition,plan_status,entry_north,entry_east,planned_wh_air,planned_wh_transition,planned_wh_water,planned_wh_total,plan_time_ms,planned_length_m,air_status,air_exec_wh_thrust,air_flown_length_m,air_mission_time_s,air_n_replans,air_min_clearance_m,air_collided,air_max_crosstrack_m,air_final_error_m,water_status,water_exec_wh_thrust,water_flown_length_m,water_mission_time_s,water_n_replans,water_min_clearance_m,water_collided,water_max_crosstrack_m,water_final_error_m,exec_wh_total_with_modelled_transition
astar,K2,SUCESSO,12.32,-6.87,0.955,0.111,0.184,1.251,281.2,50.8,SUCESSO,1.3938,42.47,24.9,5,1.55,0,0.61,0.46,SUCESSO,0.2084,6.95,35.0,0,1.19,0,0.96,0.5,1.713
rrt_star,K2,SUCESSO,13.07,7.11,0.952,0.111,0.205,1.268,4002.8,52.2,SUCESSO,1.054,40.11,19.2,0,1.71,0,0.5,0.31,SUCESSO,0.2299,7.24,35.5,0,1.7,0,0.65,0.47,1.395
